,Job Title,Company,Description
186,Director of Channel Partnerships,Doctor.com,"The company is looking for an ambitious, motivated leader to lead the strategy and day-to-day operations of it's channel partnerships."
187,"Senior Engineer, Innovation",CLEAR - Corporate,"As a Senior Software Engineer, you serve as the trusted advisor between product, technology, and CLEAR customers, driving technical discovery in emerging…"
188,Part Time Nurse,Restore Hyper Wellness,"Every day, we help thousands of customers achieve their goals around sports performance, pain management, recovery, beauty and overall wellness."
189,"Dental Territory Manager - White Plains, NY",Align Technology,"You will be responsible for selling directly to professional business owners (General Dentists), transforming an analog process with clear aligners and…"
190,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
191,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
192,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
193,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
194,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
195,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
196,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
197,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
198,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
199,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
200,Director of Product Design,Medly Pharmacy,"You’ll create end-to-end product design that results in differentiated offerings and outcomes for all our customers including patients, doctors, hospitals,…"
201,Security Officer - Custom Protection,G4S,"Major Medical, Dental and Vision.
In addition, G4S provides benefits that are automatically available to all full or part-time employees, whether you enroll in…"
202,Technician (Metropolitan),"Surgical Solutions, LLC","When SCMP is missing critical data, such as amissing doctor, room or procedure, alert your site lead to create.
In the Operating Room the Technicianwill."
203,Creative Strategy For Social Change Internship,A/B Partners,"A/B Partners is seeking motivated individuals for a creative strategy internship that starts June 2020 and ends August 2020.
Job type: 40 hours per week."
204,Office Manager,NY Health,"Respond to questions from doctors, nurses and patients in a timely manner.
Coordinate with doctors, nurses and other healthcare professionals to identify their…"
205,Mastectomy/Compression Fitter,The Compression Store,"Effectively communicate with patients, doctors and therapists.
We are seeking an experienced and friendly Certified Fitter to provide comprehensive care…"
206,Fight For The Base Internship,A/B Partners,"Strong communication skills and a strong interest in public relations, social media and marketing are essential to succeed in this position."
207,Pharmacist,The Brooklyn Hospital Center,"MEDICATION ORDER REVIEW AND VERIFICATION.
Reviews all medication orders and patient medication profiles for appropriateness and completeness."
208,Strategic Communications For Social Change Internship,A/B Partners,"A commitment to social justice and a strong interest in strategic communications, advocacy, and social media are essential to succeed in this position."
209,"Annotation Specialist, Medical Reports (Part-Time Contractor...",Covera Health,"As an Annotation Specialist, Medical Reports, you will be responsible for annotating radiology reports for key phrases and text to support our ongoing data…"
210,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
211,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
212,Physician - Urgent Care,KHS,"This is a full time Urgent Care position with excellent pay and benefits.
Ideal physician candidates are licensed in New York and board certified in Emergency…"
213,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
214,Investigator,New York State Office of the Attorney General,"The Office of the Attorney General is seeking qualified candidates for Investigator.
In 2001, in response to the increase in no-fault insurance fraud, the…"
215,Certified Medical Assistant (CMA),Soho Hair MD,"Certified medical assistant needed for boutique Soho dermatologic practice specializing in hair loss.
Necessary to have strong communication skills."
216,Medical Doctor,AA ADMINISTRATIVE SERVICES,"Medical doctor to perform 1st trimester abortions.
OB/GYN: 1 year (Preferred)."
217,Medical Doctor,Brooklyn Adult Day Care Fairview,"By participating in developing, implementing and maintaining standards of nursing practice.
Monitoring patients and documenting progress."
